series,budget_N,provenance,estimator,value_pct,ci_lo_pct,ci_hi_pct,interval_kind,population
floor,10,replay of the N=40 checkpoint,min non-zero achievable FPR,12.0,8.9,15.3,question bootstrap (questions only),"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
floor,20,replay of the N=40 checkpoint,min non-zero achievable FPR,3.1,1.8,4.7,question bootstrap (questions only),"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
floor,40,direct measurement (August run),min non-zero achievable FPR,2.0,,,"none -- withdrawn, see results/n40_floor_estimator_ruling.md","200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
at_cap_mass,10,replay of the N=40 checkpoint,share of correct answers at ln N,12.0,8.9,15.3,question bootstrap (questions only); same estimator as the floor,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
at_cap_mass,20,replay of the N=40 checkpoint,share of correct answers at ln N,3.1,1.8,4.7,question bootstrap (questions only); same estimator as the floor,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
at_cap_mass,40,direct measurement (August run),share of correct answers at ln N,0.0,0.0,1.9,Wilson on 0/200,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
floor,10,direct measurement (Week-4 June cache),min non-zero achievable FPR,9.5,6.2,14.4,Wilson on 19/200,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
at_cap_mass,10,direct measurement (Week-4 June cache),share of correct answers at ln N,9.5,6.2,14.4,Wilson on 19/200,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
paired_difference,10 -> 20,replay-replay,matched paired bootstrap over the 200 questions,-8.9,-11.1,-6.8,questions only,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
paired_difference,20 -> 40,replay-measured,matched paired bootstrap over the 200 questions,-1.1,-2.4,0.2,questions only,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
paired_difference,10 -> 40,replay-measured,matched paired bootstrap over the 200 questions,-10.0,-12.9,-7.2,questions only,"200 correct answers of the score-independent fair pool (_stratum_ids('right', seed=0)[:200]). NOT the 80-target attacked pool, NOT the 1424-answer superset, NOT the 2000-question replication pass."
