# population,"80 correct-answer targets of the false-alarm attack arm (TriviaQA, semantic entropy, N=10, definitive cell wk9_defb). NOT the 200+200 score-independent fair pool."
# source,\\wsl.localhost\Ubuntu-24.04\home\abhi\.cache\se-research\samples\attacks\wk9_defb\triviaqa_se_false_alarm.jsonl
# ceiling_nats,2.302585092994046
question_id,entropy_before_nats,entropy_after_nats,headroom_nats,move_nats,group,success,status_held
qb_4717,1.359236701,1.834371970,0.943348392,0.475135270,uncensored,1,1
dpql_1280,0.325082973,1.973001406,1.977502120,1.647918433,uncensored,1,1
qz_5496,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
dpql_59,1.497866137,1.973001406,0.804718956,0.475135270,uncensored,1,1
qb_8980,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
qb_565,0.000000000,0.000000000,2.302585093,0.000000000,uncensored,0,1
dpql_1059,1.497866137,2.302585093,0.804718956,0.804718956,censored_at_ceiling,0,0
qb_9498,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
qb_723,2.163955657,2.163955657,0.138629436,0.000000000,uncensored,0,1
qb_8785,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
qz_1745,0.325082973,2.163955657,1.977502120,1.838872683,uncensored,1,1
tc_40,1.834371970,2.302585093,0.468213123,0.468213123,censored_at_ceiling,1,1
tc_1735,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
qb_2833,1.088899975,2.302585093,1.213685118,1.213685118,censored_at_ceiling,1,1
tc_49,0.943348392,2.302585093,1.359236701,1.359236701,censored_at_ceiling,1,1
dpql_1362,0.639031860,1.973001406,1.663553233,1.333969547,uncensored,1,1
tc_2218,1.973001406,2.302585093,0.329583687,0.329583687,censored_at_ceiling,0,0
tc_2496,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qb_4763,1.497866137,2.302585093,0.804718956,0.804718956,censored_at_ceiling,1,1
dpql_907,1.643417720,2.302585093,0.659167373,0.659167373,censored_at_ceiling,1,1
qb_6105,1.643417720,1.643417720,0.659167373,0.000000000,uncensored,0,1
tc_2740,1.227529411,1.695742534,1.075055682,0.468213123,uncensored,1,1
qb_7441,1.497866137,2.302585093,0.804718956,0.804718956,censored_at_ceiling,1,1
qz_3152,1.497866137,1.609437912,0.804718956,0.111571776,uncensored,0,1
qb_2350,2.025326221,2.302585093,0.277258872,0.277258872,censored_at_ceiling,1,1
qb_6432,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
qb_6190,1.834371970,1.834371970,0.468213123,0.000000000,uncensored,0,1
qz_647,1.609437912,2.302585093,0.693147181,0.693147181,censored_at_ceiling,1,1
tc_2,1.227529411,2.302585093,1.075055682,1.075055682,censored_at_ceiling,0,0
qb_4017,1.088899975,2.302585093,1.213685118,1.213685118,censored_at_ceiling,1,1
tc_2208,1.088899975,2.302585093,1.213685118,1.213685118,censored_at_ceiling,1,1
tc_1816,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qz_2397,1.748067349,2.302585093,0.554517744,0.554517744,censored_at_ceiling,1,1
qb_2850,1.054920168,2.302585093,1.247664925,1.247664925,censored_at_ceiling,1,1
qb_7207,1.748067349,1.748067349,0.554517744,0.000000000,uncensored,0,1
qz_3927,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qb_7130,1.695742534,2.163955657,0.606842559,0.468213123,uncensored,1,1
qb_7717,1.497866137,1.748067349,0.804718956,0.250201212,uncensored,1,1
tc_1069,0.943348392,1.279854226,1.359236701,0.336505834,uncensored,1,1
dpql_447,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
qb_4578,1.609437912,2.025326221,0.693147181,0.415888308,uncensored,1,1
qb_4040,0.000000000,0.943348392,2.302585093,0.943348392,uncensored,1,1
qb_1204,0.325082973,2.302585093,1.977502120,1.977502120,censored_at_ceiling,0,0
tc_3086,1.359236701,2.302585093,0.943348392,0.943348392,censored_at_ceiling,1,1
qb_7238,0.000000000,1.227529411,2.302585093,1.227529411,uncensored,1,1
qz_3101,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qb_7262,2.163955657,2.163955657,0.138629436,0.000000000,uncensored,0,1
qb_1285,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qz_5044,0.325082973,1.973001406,1.977502120,1.647918433,uncensored,1,1
qb_2922,2.025326221,2.302585093,0.277258872,0.277258872,censored_at_ceiling,1,1
tc_2256,2.163955657,2.163955657,0.138629436,0.000000000,uncensored,0,1
tc_2544,0.639031860,1.748067349,1.663553233,1.109035489,uncensored,1,1
qz_3393,0.325082973,0.325082973,1.977502120,0.000000000,uncensored,0,1
qb_7076,1.748067349,2.302585093,0.554517744,0.554517744,censored_at_ceiling,1,1
qz_2444,2.163955657,2.163955657,0.138629436,0.000000000,uncensored,0,1
qb_8316,1.609437912,2.163955657,0.693147181,0.554517744,uncensored,1,1
qb_7855,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
qz_3833,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qb_1253,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qb_1541,1.497866137,2.302585093,0.804718956,0.804718956,censored_at_ceiling,1,1
qz_4576,0.801818553,1.227529411,1.500766540,0.425710859,uncensored,1,1
dpql_250,1.695742534,2.302585093,0.606842559,0.606842559,censored_at_ceiling,1,1
qb_4125,1.973001406,1.973001406,0.329583687,0.000000000,uncensored,0,1
qb_3849,0.639031860,2.163955657,1.663553233,1.524923797,uncensored,1,1
qb_1580,0.000000000,0.897945725,2.302585093,0.897945725,uncensored,1,1
dpql_3092,1.227529411,1.609437912,1.075055682,0.381908501,uncensored,1,1
qb_2689,2.025326221,2.025326221,0.277258872,0.000000000,uncensored,0,1
qb_3878,1.470808476,1.504788284,0.831776617,0.033979807,uncensored,0,1
dpql_259,1.834371970,2.302585093,0.468213123,0.468213123,censored_at_ceiling,1,1
tc_349,1.609437912,2.302585093,0.693147181,0.693147181,censored_at_ceiling,1,1
qb_8182,0.325082973,1.088899975,1.977502120,0.763817002,uncensored,1,1
dpql_3015,1.227529411,2.302585093,1.075055682,1.075055682,censored_at_ceiling,1,1
qz_2884,2.302585093,2.302585093,0.000000000,0.000000000,zero_headroom,0,1
qb_1757,2.163955657,2.302585093,0.138629436,0.138629436,censored_at_ceiling,0,1
dpql_3151,1.227529411,1.418483662,1.075055682,0.190954250,uncensored,0,1
qz_5082,1.418483662,1.418483662,0.884101431,0.000000000,uncensored,0,1
qb_4395,0.940447989,2.302585093,1.362137104,1.362137104,censored_at_ceiling,1,1
qb_4173,1.088899975,1.470808476,1.213685118,0.381908501,uncensored,1,1
dpql_381,1.227529411,1.834371970,1.075055682,0.606842559,uncensored,1,1
dpql_3061,1.359236701,2.163955657,0.943348392,0.804718956,uncensored,1,1
