pair_id,question_A,question_B,equivalent_yes_no_unsure,answer_could_differ_yes_no,confidence_1_to_3,notes
P001,Bonar Law is the only Prime Minister not born in the UK. In which country was he born?,"What country is the birthplace of Bonar Law, who is the only UK Prime Minister who was not born in the United Kingdom?",,,,
P002,Which magazine is produced and sold for the benefit of homeless people?,What publication is primarily intended to promote the well-being and support the needs of people who are homeless?,,,,
P003,What name was given to the invisible material once thought to occupy all space?,What was the name of the hypothetical substance that was once widely believed to be omnipresent throughout the universe?,,,,
P004,Who was the man behind The Chipmunks?,Who is the person credited with creating the popular cartoon characters The Chipmunks?,,,,
P005,"In the 1965 film ‘Those Magnificent Men in Their Flying Machines’, how much is the prize money, in pounds sterling, for the fastest flight from London to Paris?","In the 1965 film 'Those Magnificent Men in Their Flying Machines', what is the prize money, in pounds sterling, for the fastest flight from London to Paris?",,,,
P006,What were the names of the founder of British company JCB?,"In humans, a hemispherectomy is the removal of half of the what?",,,,
P007,What was the first name of the character played by John Travolta in the film Saturday Night Fever?,What was the first name of the character played by John Travolta in Saturday Night Fever.,,,,
P008,What was the identity of the U.S. president who was the first to be interviewed by Barbara Walters?,Who was the first US president Barbara Walters interviewed?,,,,
P009,What is the botanical name of the Ligustrum shrub?,Ligustrum is the Latin name for which shrub?,,,,
P010,"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?","What is the name of the gang leader associated with notorious gang members known as Benny the Ball, Brain, and Choo Choo?",,,,
P011,What African country is the location of the well-known resort town of Monastir?,In which African country is the popular resort of Monastir?,,,,
P012,How many times was Boris Becker runner-up in the Men's Singles at Wimbledon?,What is the number of times Boris Becker finished as the runner-up in the Men's Singles at Wimbledon?,,,,
P013,Who had a 70s No 1 hit with Kiss You All Over?,"What 1978 hit single by the artist who recorded ""Kiss You All Over"" reached number one on the music charts?",,,,
P014,In what year's Olympics were electric timing devices and a public-address system used for the first time?,In which year did the Olympics first feature electric timing devices and a public-address system?,,,,
P015,The UK television series ‘Father Ted’ is set on which fictional island?,What is the main island location where the primary filming of the British sitcom 'Father Ted' took place?,,,,
P016,What venue did Bono refer to as 'rock and roll's great cathedral'?,Singer and musician Bono called which venue ‘Rock and roll’s great cathedral’?,,,,
P017,What is the upper edge of the ship's side adjacent to the bulwarks called?,What is the upper edge of the ship’s side next to the bulwarks called?,,,,
P018,"What songs ""Chim Chim Cheree"", ""I Love to Laugh"", and ""Feed the Birds"" are all from which film?","Chim Chim Cheree, I Love to Laugh and Feed the Birds are all songs from which film?",,,,
P019,The books were Alice and Jerry in the USA – what were they here?,What were the titles of the books in the United States known as Alice and Jerry?,,,,
P020,"According to the film Gremlins, if you are looking after a Gremlin you should not feed him after midnight, not get him wet and not expose him to what?",Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,,,,
P021,What monarch held the position of king of France during the French Revolution?,Who was king of France at the time of the French Revolution?,,,,
P022,What mineral is typically associated with antimony and contains the sulphite anion?,The chemical element antimony is found in nature mainly as which sulphite mineral?,,,,
P023,Which now obsolete unit originated as the distance a person could walk in an hour?,"What unit, now largely obsolete, was originally defined as the distance a person could walk in 1 hour?",,,,
P024,What is the total count of Shakespearean characters who meet their demise through self-inflicted harm?,How many definite suicides occur in the plays of William Shakespeare?,,,,
P025,What is the informal term used to describe a 'gricer'?,A ‘gricer’ is a slang term for a what?,,,,
P026,Who was the King of Great Britain and King of Ireland in 1800?,"In the year 1800, who was King of Great Britain and King of Ireland?",,,,
P027,What type of creature is a bananaquit?,What is the classification of a bananaquit?,,,,
P028,Which male singer known as 'Regal' performed at the 2007 Super Bowl halftime show?,Which 'Regal' male singer provided the half-time entertainment for the 2007 Superbowl?,,,,
P029,Dydd Mawrth is Welsh for which day of the week?,Who presents the new BBC documentary Science Britannica?,,,,
P030,Long An Provence is in which Asian country?,Who was the Beano’s Redskin Chum?,,,,
P031,"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?","In which arcade game are the ghosts named Inky, Pinky, Blinky, and Clyde?",,,,
