pair_id,question_A,question_B,equivalent_yes_no_unsure,answer_could_differ_yes_no,confidence_1_to_3,notes
R001,What English football club is based at Vicarage Road and plays its home matches there?,Which English football team play their home games at Vicarage Road?,,,,
R002,Which Olympic athlete is nicknamed ‘The Lightning Bolt’?,Which Olympic athlete is famously known by the nickname 'The Lightning Bolt'?,,,,
R003,What is Annie Leibovitz best known for?,With what area of expertise do you associate the name of Annie Leibovitz?,,,,
R004,Andrew Lloyd Webber and Tim Rice first worked together on which musical?,What musical did Andrew Lloyd Webber and Tim Rice first collaborate on?,,,,
R005,"What were the three major sieges of the Boer War, apart from Mafeking and Kimberley?","There were three major sieges in the Boer War – Mafeking, Kimberley and which other?",,,,
R006,What is the name of the strong material found in plant cell walls?,What is the primary substance that gives plant cell walls their strength and structure?,,,,
R007,What laboratory in New Jersey was Thomas Edison associated with?,What is the name of the laboratory in New Jersey which is associated with Thomas Edison?,,,,
R008,Singer and musician Bono called which venue ‘Rock and roll’s great cathedral’?,What venue did Bono refer to as 'rock and roll's great cathedral'?,,,,
R009,What is the classification of a bananaquit?,What type of creature is a bananaquit?,,,,
R010,In which year did the Olympics first feature electric timing devices and a public-address system?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,,,,
R011,What boxer faced George Foreman in the 'Battle of the Ages' in April 1991?,‘The Battle of the Ages’ took place in April 1991 between George Foreman and which other boxer?,,,,
R012,"What 1978 hit single by the artist who recorded ""Kiss You All Over"" reached number one on the music charts?",Who had a 70s No 1 hit with Kiss You All Over?,,,,
R013,"What decisive battle, led by Napoleon on 2 December 1805, resulted in a victory over a joint Austrian-Russian force?",At which battle of 2 December 1805 did Napoleon defeat a combined Austrian-Russian army?,,,,
R014,"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?","What serial killer, infamous for a 15-victim killing spree, died by hanging at Wakefield Prison in January 2004, four years after he had initially been incarcerated?",,,,
R015,Who is the person credited with creating the popular cartoon characters The Chipmunks?,Who was the man behind The Chipmunks?,,,,
R016,Ligustrum is the Latin name for which shrub?,What is the botanical name of the Ligustrum shrub?,,,,
R017,"Which tennis player, born in 1946, was nicknamed ‘Nasty’?","Which tennis player, born in 1946, is famously known as 'Nasty'?",,,,
R018,What is the number of stars on the current New Zealand national flag?,How many stars are on the national flag of New Zealand?,,,,
R019,Who was the Beano’s Redskin Chum?,Long An Provence is in which Asian country?,,,,
R020,What is the nickname of the former World Darts Champion associated with 'The Limestone Cowboy'?,Which former World Darts Champion is known by the nickname ‘The Limestone Cowboy’?,,,,
R021,Which actress was voted Miss Greenwich Village in 1942?,Which `B` was the name of the mechanical shark used in the original `Jaws` film?,,,,
R022,What city was the venue for the 1992 Summer Olympics?,Which city hosted the 1992 Summer Olympic Games?,,,,
R023,"Who wrote the political treatise ‘The Prince’, published in 1532?","Who wrote the political treatise 'The Prince', published in 1532?",,,,
R024,What locations in the United States hosted the Live Aid concerts?,Where was the American venue of the Live Aid concert?,,,,
R025,Which artists had chart success with the songs Annie's Song and Rocky Mountain High?,Who had chart hits which included Annie`s Song and Rocky Mountain High?,,,,
R026,Which singer got her hair caught in the blades of a fan as she was performing in concert in Montreal in July 2013?,"At a concert in Montreal in July 2013, which female singer had her hair become entangled with a fan.",,,,
R027,What was the presidential inauguration ceremony with the highest cost in the 20th century?,Who had the most expensive presidential inauguration ceremony of the 20th century?,,,,
R028,"In Greek mythology, where do righteous souls go after death?",What is the ultimate destination or reward for virtuous souls in Greek mythology?,,,,
R029,What was the original name of the film production company that eventually evolved into Paramount Pictures?,What was the Paramount Film Company originally called?,,,,
R030,"Chim Chim Cheree, I Love to Laugh and Feed the Birds are all songs from which film?","What songs ""Chim Chim Cheree"", ""I Love to Laugh"", and ""Feed the Birds"" are all from which film?",,,,
R031,What color golf balls are used on the golf course in Antarctica?,What colors are the golf balls commonly used on golf courses located in Antarctica?,,,,
R032,What was the name of the hypothetical substance that was once widely believed to be omnipresent throughout the universe?,What name was given to the invisible material once thought to occupy all space?,,,,
R033,What character in Joel Chandler Harris's stories frequently causes Br'er Rabbit to become entangled in a series of unfortunate circumstances?,Who gets Brer Rabbit in a terrible tangle in the stories by Joel Chandler Harris?,,,,
R034,"In humans, the medical condition Hyposmia affects which of the senses?",What sense in humans is affected by the medical condition Hyposmia?,,,,
R035,Who is the mathematician from Scotland credited with the discovery of logarithms?,Which Scottish mathematician discovered logarithms?,,,,
R036,"What country is the birthplace of Bonar Law, who is the only UK Prime Minister who was not born in the United Kingdom?",Bonar Law is the only Prime Minister not born in the UK. In which country was he born?,,,,
R037,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"What novels, apart from ""Men Against the Sea"" and ""Pitcairn's Island"", are sequels to a notable literary work?",,,,
