pair_id,round,stratum,orientation,round1_pair_id,question_id,source_file,attack,detector,question,best_query,success,entropy_and_feasible,status_held,correct_under_q_prime,frac_correct_under_q_prime,answer_under_q_prime,entropy_before,entropy_after,delta
P001,1,subthreshold,q_first,,qz_3833,triviaqa_se_false_alarm.jsonl,false_alarm,se,Bonar Law is the only Prime Minister not born in the UK. In which country was he born?,"What country is the birthplace of Bonar Law, who is the only UK Prime Minister who was not born in the United Kingdom?",False,False,True,False,-1.0,,2.3025850929940455,2.3025850929940455,0.0
P002,1,win,q_first,,dpql_2608,triviaqa_se_hide.jsonl,hide,se,Which magazine is produced and sold for the benefit of homeless people?,What publication is primarily intended to promote the well-being and support the needs of people who are homeless?,True,True,True,False,0.1,"There are several publications that are primarily intended to promote the well-being and support the needs of people who are homeless. Some examples include:

1. **Street News Service**: A newspaper that is written and distributed by homeless individuals, often with the",2.3025850929940455,1.9730014063936123,-0.32958368660043313
P003,1,win,q_first,,tc_3086,triviaqa_se_false_alarm.jsonl,false_alarm,se,What name was given to the invisible material once thought to occupy all space?,What was the name of the hypothetical substance that was once widely believed to be omnipresent throughout the universe?,True,True,True,True,0.4,"The hypothetical substance you're referring to is likely ""Aether"" or ""Ether."" Aether was a long-held concept in ancient and medieval times, believed to be a weightless, invisible substance that filled the region above the Earth and other",1.3592367006650063,2.3025850929940455,0.9433483923290391
P004,1,flip,q_first,,tc_2,triviaqa_se_false_alarm.jsonl,false_alarm,se,Who was the man behind The Chipmunks?,Who is the person credited with creating the popular cartoon characters The Chipmunks?,False,True,False,False,0.5,The person credited with creating the popular cartoon characters The Chipmunks is Ross Bagdasarian Sr.,1.2275294114572126,2.3025850929940455,1.0750556815368328
P005,1,subthreshold,q_first,,qb_7354,triviaqa_se_hide.jsonl,hide,se,"In the 1965 film ‘Those Magnificent Men in Their Flying Machines’, how much is the prize money, in pounds sterling, for the fastest flight from London to Paris?","In the 1965 film 'Those Magnificent Men in Their Flying Machines', what is the prize money, in pounds sterling, for the fastest flight from London to Paris?",False,False,True,False,-1.0,,1.9730014063936125,1.8343719702816235,-0.13862943611198908
P006,1,catch,qprime_first,,catch:qb_565|qb_7262,synthetic,,,"In humans, a hemispherectomy is the removal of half of the what?",What were the names of the founder of British company JCB?,,,,,,,,,
P007,1,win,qprime_first,,qz_4576,triviaqa_se_false_alarm.jsonl,false_alarm,se,What was the first name of the character played by John Travolta in Saturday Night Fever.,What was the first name of the character played by John Travolta in the film Saturday Night Fever?,True,True,True,True,1.0,The character played by John Travolta in the film Saturday Night Fever was Tony Manero.,0.8018185525433373,1.2275294114572126,0.4257108589138753
P008,1,win,qprime_first,,tc_2331,triviaqa_se_hide.jsonl,hide,se,Who was the first US president Barbara Walters interviewed?,What was the identity of the U.S. president who was the first to be interviewed by Barbara Walters?,True,True,True,False,0.3,I am unable to verify the U.S. president who was the first to be interviewed by Barbara Walters.,2.3025850929940455,1.1682824501765625,-1.134302642817483
P009,1,win,qprime_first,,qb_4017,triviaqa_se_false_alarm.jsonl,false_alarm,se,Ligustrum is the Latin name for which shrub?,What is the botanical name of the Ligustrum shrub?,True,True,True,True,1.0,The botanical name of the Ligustrum shrub is Ligustrum.,1.0888999753452235,2.3025850929940455,1.213685117648822
P010,1,win,q_first,,qz_5053,triviaqa_se_hide.jsonl,hide,se,"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?","What is the name of the gang leader associated with notorious gang members known as Benny the Ball, Brain, and Choo Choo?",True,True,True,False,0.0,"I am unable to verify the name of the gang leader associated with notorious gang members known as Benny the Ball, Brain, and Choo Choo.",2.0253262207700673,0.639031859650177,-1.3862943611198904
